student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,Location
S1728,21,Other,2.8,2,2,No,80.1,5.6,Fair,2,None,Average,3,Yes,59.9,Kenya
S1729,20,Male,3.5,3,2.7,No,70.6,5.4,Fair,5,High School,Good,7,No,66.7,Tanzania
S1730,19,Female,4.3,2.7,2.6,Yes,91.9,5,Good,3,Bachelor,Good,1,No,58.4,Ethiopia
S1731,17,Male,3.5,0,2.4,No,92.2,6.2,Good,4,Master,Poor,1,No,63.6,Kenya
S1732,17,Male,2.8,3.4,0.9,No,67.7,7,Poor,3,Master,Average,9,No,62.6,Ethiopia
S1733,24,Male,3.3,2.8,0,No,98.3,7.3,Fair,2,Bachelor,Good,6,No,70.6,Rwanda
S1734,18,Female,3.4,3.1,1.4,No,100,6.8,Poor,4,Bachelor,Good,5,No,75.2,Uganda
S1735,19,Male,2.9,7.2,2.9,Yes,85.5,5.7,Fair,1,High School,Good,6,No,50.1,Rwanda
S1736,20,Female,3.1,0,3.3,No,78.6,6.9,Fair,0,Bachelor,Average,6,No,72.8,Tanzania
S1737,21,Male,5.9,4.6,2.6,Yes,100,6.6,Fair,0,High School,Average,1,Yes,72.7,Ethiopia
S1738,21,Other,4.3,2.2,2.3,No,71.8,7.6,Fair,2,High School,Good,5,Yes,76,Kenya
S1739,20,Male,3.1,2.8,2.2,No,85.2,7.4,Poor,6,Bachelor,Good,9,Yes,74.1,Uganda
S1740,23,Female,4.5,2.4,1.2,Yes,86.8,6.5,Poor,3,None,Average,4,Yes,79,Kenya
S1741,22,Female,3,2,1.7,No,98.5,5.4,Poor,1,Bachelor,Good,3,No,51.3,Uganda
S1742,18,Female,5.3,1.8,3.6,No,88.6,5.7,Fair,4,Bachelor,Average,1,Yes,71,Tanzania
S1743,21,Female,4.1,2.9,0.8,Yes,80,5.8,Good,6,High School,Good,2,Yes,76.4,Rwanda
S1744,19,Female,3.3,0.7,3.6,No,75.5,6.1,Poor,3,High School,Good,3,Yes,52.6,Rwanda
S1745,18,Female,4.2,3.4,1.4,No,81.6,6.8,Good,2,Master,Average,4,No,74,Uganda
S1746,19,Male,1.1,2,3.3,No,74.9,7.4,Good,3,Bachelor,Good,7,No,42.6,Tanzania
S1747,23,Male,1.8,1.1,0.3,No,85.5,6.4,Good,2,High School,Average,6,No,49.8,Rwanda
S1748,17,Female,1.7,2,2.4,No,79.4,6.5,Good,5,High School,Average,8,No,45.7,Rwanda
S1749,18,Female,3.7,4,1,No,70.1,6.7,Good,0,Bachelor,Poor,9,Yes,77.2,Rwanda
S1750,24,Female,6.1,1.9,0.2,No,97.6,5.9,Poor,6,Bachelor,Poor,6,No,98.5,Uganda
S1751,21,Female,6.8,2.9,2,No,80,5.4,Fair,0,High School,Average,7,No,96.2,Kenya
S1752,18,Male,4.5,1.6,2.9,Yes,72.3,4.4,Good,3,High School,Good,4,Yes,71.3,Ethiopia
S1753,18,Male,4.3,3.4,0.9,No,83.3,5.7,Fair,1,Master,Good,2,No,59.2,Tanzania
S1754,18,Female,0.8,3.3,0.2,No,85.7,7.1,Good,4,Bachelor,Poor,9,No,51.8,Uganda
S1755,22,Male,2.7,4.7,1.7,Yes,67.5,5.7,Poor,2,Master,Good,9,No,59.3,Ethiopia
S1756,18,Male,2.3,2.3,1.7,No,88.3,6.2,Good,4,Bachelor,Good,4,No,58.5,Uganda
S1757,19,Female,2.6,3.3,2.4,No,74.5,7.1,Fair,0,Master,Good,3,Yes,44.5,Kenya
S1758,17,Male,3.2,2.6,2.8,No,100,7.1,Fair,1,High School,Good,10,Yes,75.4,Rwanda
S1759,23,Female,2.8,4.1,1.7,Yes,90.2,5.2,Fair,1,Bachelor,Average,6,Yes,54.9,Tanzania
S1760,20,Male,0.5,1.6,3.8,Yes,81,7.7,Good,4,None,Average,3,Yes,30.2,Kenya
S1761,18,Female,4.6,3.4,2,No,77.5,7.9,Good,0,Bachelor,Good,1,Yes,71.8,Ethiopia
S1762,21,Male,1.9,2.3,1.4,No,84,5.1,Fair,4,High School,Poor,4,No,51.8,Tanzania
S1763,18,Male,3.9,2.4,0,Yes,91.1,5.5,Good,3,High School,Poor,1,Yes,59.5,Rwanda
S1764,21,Male,6.6,2.6,1.5,No,84.7,7.9,Fair,1,Master,Poor,2,No,96.6,Rwanda
S1765,19,Male,2.1,2.8,1.4,Yes,82.8,6.3,Poor,1,Master,Average,3,No,44.1,Ethiopia
S1766,21,Male,0,2.4,2.9,No,85.6,3.8,Poor,3,None,Average,8,No,30.5,Ethiopia
S1767,24,Male,3.1,2.8,2.3,No,79,4.8,Poor,0,Bachelor,Average,10,No,63.7,Tanzania
S1768,20,Female,5.2,4.4,0.5,No,81.6,6.2,Fair,1,High School,Poor,4,No,74,Tanzania
S1769,17,Male,6.4,3.7,2,No,64.1,5.1,Fair,6,High School,Good,4,No,98.8,Ethiopia
S1770,21,Female,1.7,3.5,2.5,No,94.7,6,Good,5,Bachelor,Good,10,No,53,Ethiopia
S1771,21,Female,4.2,2,3.5,No,88,6.5,Good,5,High School,Average,9,No,84.6,Tanzania
S1772,17,Female,2.8,1.4,2.8,No,77.3,8.3,Poor,5,Master,Poor,7,No,73,Tanzania
S1773,20,Male,3.3,3.6,2.6,No,100,6.2,Fair,2,High School,Poor,2,Yes,57.1,Uganda
S1774,18,Female,7.5,3.6,1.9,Yes,85.9,7.8,Fair,6,Bachelor,Average,3,No,100,Uganda
S1775,21,Male,1.2,4.3,2.2,No,74.6,8.2,Fair,2,Bachelor,Average,4,No,36.2,Ethiopia
S1776,17,Male,3.9,1.8,3.2,No,93.6,8.2,Poor,0,High School,Average,4,No,65.6,Uganda
S1777,24,Other,4.2,2.2,0.3,Yes,89,6.8,Poor,3,High School,Good,10,Yes,87.5,Uganda
S1778,24,Male,5.1,0.5,1.4,No,88.9,4.1,Good,4,Bachelor,Average,8,No,100,Tanzania
S1779,19,Female,3.6,2,1,Yes,80.7,7.1,Good,6,Bachelor,Average,10,No,85.6,Rwanda
S1780,17,Female,4,3.7,2.2,No,89.5,7.8,Poor,0,High School,Average,10,Yes,89.4,Kenya
S1781,19,Female,2.9,1.9,3.2,No,82.4,6.4,Fair,4,Bachelor,Good,6,No,66.9,Tanzania
S1782,24,Female,3.9,3.3,1.1,Yes,90.6,8.6,Fair,0,None,Good,3,No,56,Kenya
S1783,20,Male,3,2.3,0,No,66,7.5,Good,2,High School,Good,9,No,77.9,Ethiopia
S1784,18,Male,4.4,2.9,1.3,No,80.7,7.2,Fair,5,High School,Good,10,No,91.3,Rwanda
S1785,17,Female,2.9,1.1,2.8,No,100,7.8,Poor,3,None,Average,8,No,68.4,Uganda
S1786,23,Male,4.1,2.6,2.4,No,77.3,6.9,Good,2,Bachelor,Average,9,No,85.3,Kenya
S1787,24,Male,3.5,0,2.3,No,79,3.5,Fair,3,Bachelor,Good,5,Yes,64.4,Uganda
S1788,24,Male,5.2,2.3,1.5,No,80.5,5.9,Fair,6,Master,Poor,3,No,82.8,Kenya
S1789,23,Male,3.4,0.5,0.4,No,72.9,7.9,Fair,4,Bachelor,Good,4,No,78,Ethiopia
S1790,22,Male,0.8,3.9,2.4,No,62.9,5.5,Fair,0,Master,Good,5,No,31.5,Ethiopia
S1791,24,Male,5.4,3.4,0.9,No,82.7,6.2,Fair,1,Bachelor,Good,9,No,92.3,Uganda
S1792,21,Female,2.1,3.1,4.2,No,86.4,5.2,Fair,1,Bachelor,Poor,9,Yes,50.1,Ethiopia
S1793,20,Female,2.5,4.3,2.4,No,84.5,8.6,Fair,3,Master,Good,3,No,49.4,Ethiopia
S1794,17,Female,2.6,1.4,1.2,No,83.6,8.5,Poor,5,Bachelor,Average,7,No,80.3,Ethiopia
S1795,23,Male,5.6,4.6,1.1,No,85.4,5.4,Good,5,None,Poor,6,Yes,89.7,Tanzania
S1796,21,Male,0.3,3.6,1.7,No,95.2,6.7,Poor,3,Bachelor,Average,4,Yes,33.6,Uganda
S1797,23,Male,8.2,2.2,1.5,No,83.1,5.7,Poor,2,Master,Good,5,Yes,100,Tanzania
S1798,17,Female,5.1,3.9,3,No,79.3,7.2,Good,1,Bachelor,Average,10,No,90.6,Ethiopia
S1799,19,Female,3.8,1.2,2,No,82.2,7.1,Good,2,Bachelor,Average,2,Yes,66.3,Tanzania
S1800,17,Male,3.4,1.5,1,No,90.8,7.5,Good,4,Bachelor,Poor,7,Yes,86.1,Ethiopia
S1801,22,Female,3.9,1.8,3.9,No,99.1,6.9,Fair,1,Master,Good,4,No,65.5,Uganda
S1802,17,Male,4.3,1.9,1.9,No,78.7,10,Fair,4,None,Good,2,No,82.9,Rwanda
S1803,17,Female,4.5,1.2,2.6,No,86,5.3,Good,0,Bachelor,Good,6,Yes,76.3,Uganda
S1804,22,Female,4.3,4,1.1,Yes,88.4,4.4,Good,2,High School,Average,2,Yes,59,Uganda
S1805,20,Female,3.6,2.2,2.2,No,75.1,6,Fair,3,Bachelor,Average,10,Yes,76.1,Tanzania
S1806,24,Female,3.2,2.9,2.1,No,85.2,4.6,Good,1,Bachelor,Good,2,Yes,40.3,Tanzania
S1807,17,Female,3.3,1.8,0,No,70.3,4.7,Poor,2,High School,Average,7,Yes,65.2,Uganda
S1808,22,Male,3.2,0.3,4,Yes,67.3,5.3,Good,3,High School,Good,1,No,43.9,Uganda
S1809,21,Female,5.2,2.8,3.2,No,88.7,5.4,Good,0,Bachelor,Good,7,Yes,89.5,Kenya
S1810,19,Male,4.4,0.2,1.4,No,81.2,5.4,Good,1,High School,Average,10,No,80.7,Kenya
S1811,19,Female,0,2.4,0.6,Yes,87,7.1,Good,4,High School,Average,5,No,53,Ethiopia
S1812,17,Female,4.5,0.9,2.2,No,84.8,5.9,Good,0,Bachelor,Good,1,No,70.6,Rwanda
S1813,20,Female,3.8,4.9,1.9,No,75.2,6.3,Poor,5,High School,Average,6,No,65.5,Kenya
S1814,20,Male,3.5,3.6,2.2,No,84.5,7.6,Fair,3,High School,Average,7,No,75.1,Rwanda
S1815,21,Female,2.9,2.6,2,No,72.7,5.6,Poor,1,Master,Good,1,No,43.5,Kenya
S1816,17,Female,5.2,4,2.4,No,98.9,6.2,Fair,1,High School,Average,9,No,80.6,Kenya
S1817,19,Female,4.9,1.5,3.4,No,71.4,6.9,Good,6,High School,Good,7,Yes,88.2,Rwanda
S1818,20,Male,2.3,3.2,2.4,No,83,4.2,Fair,6,Bachelor,Poor,1,Yes,48.5,Ethiopia
S1819,17,Male,4.1,2.7,0.6,No,74.6,3.6,Fair,0,Bachelor,Good,3,No,67.3,Kenya
S1820,23,Male,2,2.8,3.3,No,90.7,6.9,Fair,1,Master,Poor,5,No,50.7,Rwanda
S1821,20,Male,1.4,4,3.6,No,81.7,7.1,Good,3,Master,Poor,4,No,35.4,Kenya
S1822,22,Female,2.6,3.4,5.3,No,79.8,9,Poor,0,Bachelor,Good,2,No,49.1,Tanzania
S1823,23,Male,4.8,2.8,0.6,No,93.5,6.7,Fair,4,High School,Good,1,No,85.4,Ethiopia
S1824,24,Other,4.9,0.5,2.1,No,85.3,7.5,Poor,0,None,Average,4,No,83.9,Ethiopia
S1825,20,Male,4.3,1.3,0,Yes,90.2,6.3,Good,0,High School,Average,7,No,90.4,Kenya
S1826,19,Male,4.6,2.4,2.4,No,75.2,6.9,Poor,4,High School,Good,4,No,87.8,Ethiopia
S1827,18,Female,4.3,2.6,1.2,No,71,8.5,Good,5,Bachelor,Average,9,No,87.5,Kenya
S1828,23,Female,2.5,1.1,3.9,No,86.1,4,Fair,6,Bachelor,Good,8,No,58.2,Uganda
S1829,24,Female,4.1,5.4,0.9,No,81.8,7,Poor,3,None,Good,8,Yes,73.2,Ethiopia
S1830,21,Female,4.7,4.3,0,No,91.3,9.1,Good,5,Bachelor,Good,5,No,83.5,Ethiopia
S1831,21,Female,4.6,3.2,1.3,No,84.2,6.8,Poor,5,High School,Average,1,Yes,77.6,Rwanda
S1832,19,Male,5.3,2.6,0,Yes,87.1,8.5,Fair,5,High School,Average,9,Yes,98.4,Kenya
S1833,20,Other,4.6,2.2,2.6,No,68.8,5.7,Poor,6,Bachelor,Good,2,No,78.5,Uganda
S1834,17,Other,4,1.4,0,Yes,100,6.5,Fair,2,High School,Poor,6,Yes,81.1,Rwanda
S1835,20,Female,5.1,2.6,1.8,No,83.4,6.5,Fair,6,High School,Average,10,No,100,Kenya
S1836,19,Male,3.5,2.8,0,No,92,3.8,Fair,5,None,Poor,5,Yes,58.7,Kenya
S1837,21,Female,2.2,1,1.4,No,76.6,5.1,Poor,2,High School,Poor,10,No,62.6,Ethiopia
S1838,20,Male,3.3,2.9,3.6,No,88.1,5.2,Fair,4,Bachelor,Average,8,Yes,60.3,Rwanda
S1839,21,Male,2.4,2.3,2.2,No,72,7.5,Good,6,Master,Average,3,No,63.9,Uganda
S1840,23,Male,2.5,0.2,0.9,Yes,89.5,7.5,Good,3,High School,Good,6,Yes,80,Ethiopia
S1841,24,Male,3.3,1.5,1.8,Yes,81.4,6.9,Fair,5,High School,Average,6,No,62.6,Ethiopia
S1842,17,Female,2.3,2,1.8,No,85.3,7.5,Fair,1,Bachelor,Average,10,No,71.4,Kenya
S1843,23,Female,3,4.8,2.3,Yes,92,6.3,Fair,4,Master,Poor,3,No,60.6,Tanzania
S1844,21,Female,0.7,3.2,0.3,Yes,72.7,7.9,Fair,2,High School,Good,7,Yes,47.2,Ethiopia
S1845,21,Male,3.8,0.9,2.5,No,78.2,6.5,Poor,6,High School,Average,4,Yes,78.1,Rwanda
S1846,18,Male,3.5,3.1,0,No,89.6,6.6,Fair,3,Bachelor,Good,5,Yes,75.5,Kenya
S1847,18,Male,2.3,0.6,1.1,No,100,6.2,Fair,0,Bachelor,Good,9,No,73.5,Ethiopia
S1848,23,Other,4.5,3.8,1.3,No,83.6,7.3,Fair,3,High School,Poor,6,No,74.6,Uganda
S1849,22,Male,4.9,1.9,2.5,No,90.9,6,Fair,3,Bachelor,Average,10,No,98.7,Uganda
S1850,23,Female,1.1,2.4,1.8,No,83.9,7.7,Good,5,High School,Average,4,Yes,49.2,Ethiopia
S1851,18,Female,2.4,4.1,0.3,No,100,5.1,Poor,5,Bachelor,Good,8,No,67.4,Uganda
S1852,21,Male,2.3,1,0.7,No,67.5,5.2,Good,6,Bachelor,Good,9,No,72.5,Ethiopia
S1853,19,Female,2.1,0.8,2,No,85.9,7.3,Good,6,Master,Good,10,Yes,68.4,Ethiopia
S1854,23,Female,4.7,1.8,1.7,No,68.7,6.4,Fair,2,High School,Average,5,No,70,Kenya
S1855,21,Female,3.2,3.7,1.2,No,59.9,6,Fair,6,High School,Good,2,No,56.1,Uganda
S1856,19,Female,3.1,0.7,1.3,Yes,88,7.6,Fair,2,High School,Poor,6,Yes,81.5,Uganda
S1857,19,Male,0.5,0,2.6,Yes,86.4,5.8,Poor,5,Master,Poor,8,Yes,45,Rwanda
S1858,18,Male,4.5,2,1.2,Yes,82.2,6.3,Fair,5,High School,Good,5,Yes,84.4,Kenya
S1859,23,Female,1.6,3.2,1.7,No,83.9,8.2,Good,1,High School,Good,1,No,36.8,Ethiopia
S1860,20,Female,3.6,3.9,4.2,No,100,8.3,Poor,1,High School,Poor,8,Yes,65.6,Rwanda
S1861,17,Male,3.9,1.9,0.2,No,82.4,8.4,Fair,4,Bachelor,Poor,9,Yes,93.5,Rwanda
S1862,18,Female,5.5,2,0,No,90.1,6.2,Good,5,High School,Poor,1,No,93.7,Kenya
S1863,18,Female,1.5,3.9,2.7,No,78.5,8,Good,0,High School,Poor,8,Yes,42.3,Rwanda
S1864,20,Female,0,0.3,1.1,Yes,88,5.4,Fair,1,High School,Average,10,Yes,53.3,Tanzania
S1865,17,Male,3.8,2,1.4,No,82.6,5.4,Good,2,Master,Good,2,No,65.9,Ethiopia
S1866,21,Female,6.2,2.7,0.9,No,80.9,3.7,Fair,3,Bachelor,Good,4,Yes,87.9,Ethiopia
S1867,22,Female,5.4,3,1.5,No,100,8.5,Poor,6,Bachelor,Good,2,No,94.5,Rwanda
S1868,23,Male,3.8,1.9,3.6,No,96.8,5.5,Fair,6,Master,Good,2,No,77.8,Ethiopia
S1869,22,Male,2.8,2.5,2.7,Yes,86.4,6.3,Fair,4,Master,Average,10,No,74.6,Rwanda
S1870,21,Other,4.7,0,2.7,Yes,62,5.4,Good,1,High School,Good,3,No,67.5,Tanzania
S1871,24,Male,2,1.7,0.2,Yes,81.4,7.3,Poor,3,Master,Good,8,Yes,66.5,Ethiopia
S1872,18,Female,4.2,3,0.5,No,100,6,Fair,3,None,Average,4,No,78.4,Rwanda
S1873,17,Female,4.3,1.3,0,No,82.7,4.9,Fair,1,High School,Good,7,No,84.9,Rwanda
S1874,18,Male,5.1,2.6,0.9,No,96,7,Fair,0,Master,Average,10,No,96.6,Tanzania
S1875,19,Female,7.6,3,2.9,No,99.4,4.8,Poor,0,High School,Good,3,No,100,Tanzania
S1876,18,Male,4.1,2.1,2.4,No,87.2,5.5,Fair,4,High School,Good,10,No,83.1,Ethiopia
S1877,18,Female,2.7,2.7,1.6,No,76.6,4,Good,0,High School,Average,3,No,36.9,Kenya
S1878,21,Male,3.5,1.3,1.8,Yes,60.6,4.8,Fair,4,Bachelor,Good,2,No,60,Kenya
S1879,21,Female,0.8,2.3,1,No,91.8,6.7,Fair,2,High School,Poor,6,No,44.3,Rwanda
S1880,21,Male,2.5,3.2,2,No,76.9,4.1,Fair,1,Bachelor,Good,6,No,41.6,Tanzania
S1881,22,Male,2.9,2.7,2.6,Yes,86.8,4.7,Fair,3,Master,Average,1,No,45.5,Ethiopia
S1882,19,Other,2.7,1.8,0,No,72.5,6.5,Fair,4,Bachelor,Poor,7,No,68.2,Rwanda
S1883,24,Male,3.7,2.8,2.1,No,82.3,5.8,Good,6,High School,Average,4,No,75.5,Tanzania
S1884,24,Female,2.3,3.4,2.8,No,85.3,8.9,Good,0,Master,Good,3,No,40.9,Uganda
S1885,21,Male,5.2,0,1.3,No,87.7,8.7,Fair,6,High School,Poor,8,No,100,Uganda
S1886,17,Female,3.5,3.9,2.6,No,73.9,5.5,Fair,4,High School,Good,2,Yes,65.6,Ethiopia
S1887,22,Male,3.5,2.1,4.9,No,97,7.2,Good,5,None,Poor,9,No,75.9,Kenya
S1888,20,Other,3,3,1.7,Yes,79,7.4,Fair,4,Bachelor,Good,8,Yes,69.8,Ethiopia
S1889,17,Male,3.7,3.9,2.2,Yes,68.3,5.8,Fair,0,High School,Good,8,No,66.6,Rwanda
S1890,23,Male,4.7,0.9,1,Yes,83.9,4.7,Fair,5,High School,Average,3,No,84.5,Kenya
S1891,23,Male,2.2,1.6,2,Yes,85.3,6.5,Good,5,High School,Average,4,Yes,65.6,Rwanda
S1892,17,Male,2.5,2.2,2.3,No,86.6,6.3,Fair,0,High School,Good,2,No,46.8,Uganda
S1893,21,Female,3,1.6,2,No,98.6,6,Good,5,Bachelor,Good,2,No,67.7,Tanzania
S1894,20,Male,1.5,4.6,0.7,Yes,82.6,7,Good,1,Bachelor,Good,4,Yes,45.4,Kenya
S1895,20,Female,2.3,1.5,2,No,83.8,5.6,Fair,3,Bachelor,Average,6,No,57,Ethiopia
S1896,22,Male,2.8,1.8,3.4,Yes,74,5.1,Good,6,High School,Average,5,No,58.4,Rwanda
S1897,20,Male,4.8,2.7,2.3,No,93.2,6.6,Good,1,High School,Good,1,Yes,70.8,Kenya
S1898,23,Female,3.9,1.1,2.9,No,86.8,7,Fair,1,Master,Average,10,No,75.7,Rwanda
S1899,19,Female,3.8,2,1.5,No,80.8,5.1,Poor,0,None,Average,1,No,55.7,Tanzania
S1900,21,Male,4.8,2.9,2.6,No,66,7.6,Poor,0,Master,Average,6,Yes,82.1,Ethiopia
S1901,20,Male,3.3,2.1,2.1,No,99.4,4.4,Fair,6,High School,Good,3,Yes,71.4,Tanzania
S1902,22,Male,4.1,2.4,0.8,No,72.7,5.8,Fair,3,Master,Good,3,No,66.7,Tanzania
S1903,23,Female,3.3,1.9,2.2,No,79.1,6.2,Fair,4,High School,Average,7,No,70.9,Kenya
S1904,19,Female,3.9,0.7,0.7,Yes,88.6,5.7,Poor,1,High School,Poor,1,Yes,73,Kenya
S1905,18,Male,2.6,2.9,1.1,Yes,73,5.8,Good,5,Bachelor,Poor,1,Yes,53.9,Uganda
S1906,18,Female,0,4.6,2,Yes,70.1,8.7,Fair,3,Bachelor,Average,10,No,43.4,Kenya
S1907,19,Female,3.3,2.5,2.1,No,63.8,5.5,Fair,1,High School,Average,3,No,55.4,Kenya
S1908,23,Female,5.6,2.8,0.5,Yes,92.2,9.4,Fair,4,Bachelor,Good,8,No,100,Rwanda
S1909,22,Female,4.9,3.3,3,No,79.5,7,Fair,5,Bachelor,Average,1,No,71.8,Rwanda
S1910,19,Male,4.9,1,2.4,No,100,6.6,Fair,1,None,Average,10,No,89.2,Uganda
S1911,21,Male,5.4,4.5,1,No,75.1,7.1,Fair,2,None,Good,4,No,83.9,Uganda
S1912,21,Male,3.6,2.7,0.1,No,75.8,9.5,Poor,6,High School,Average,9,No,89.1,Kenya
S1913,18,Male,3.8,4.5,1.6,Yes,79.3,5.3,Good,3,High School,Good,4,No,53.5,Tanzania
S1914,20,Female,2.6,1.6,1.3,Yes,87.4,5.2,Good,6,Bachelor,Poor,10,No,72.9,Kenya
S1915,22,Female,3,4.7,1.9,No,80.3,5.6,Fair,0,High School,Average,8,No,61,Kenya
S1916,18,Male,4.4,3.4,1.4,No,91.1,6.5,Good,1,High School,Good,7,No,69.1,Tanzania
S1917,20,Male,5.3,3.2,0,No,75.2,4.4,Good,5,High School,Good,3,No,77.2,Rwanda
S1918,20,Male,3.3,2.8,1.4,Yes,71.2,6.5,Poor,5,Bachelor,Average,7,No,71.9,Uganda
S1919,24,Female,2.8,2.2,1.5,No,67,8.5,Good,3,High School,Good,7,Yes,74.7,Rwanda
S1920,21,Male,3.5,3.9,2.5,Yes,62.8,6.7,Good,3,None,Good,10,No,74.5,Tanzania
S1921,23,Female,4.4,2.7,1,No,79.8,6.1,Fair,6,None,Average,3,No,85.4,Ethiopia
S1922,17,Male,1.3,0.1,3.6,No,82,5.8,Poor,5,Master,Average,2,Yes,44.3,Uganda
S1923,23,Male,0.1,1.2,0,No,78.7,7.6,Poor,5,High School,Good,9,No,53.4,Tanzania
S1924,17,Other,2.7,2.3,3.2,Yes,97.4,5.5,Poor,5,Bachelor,Average,1,Yes,57.4,Tanzania
S1925,19,Other,1.7,2.9,1.6,Yes,97.3,8.7,Good,1,None,Good,7,No,53.6,Uganda
S1926,21,Male,2.7,2.4,2.7,No,81.7,8.8,Fair,5,High School,Good,4,Yes,58.8,Rwanda
S1927,20,Female,3.3,4,1.9,No,67.1,6.8,Good,0,Bachelor,Good,2,No,43.5,Uganda
S1928,22,Female,2.8,0.2,3.1,No,79.3,6.5,Good,5,High School,Average,2,No,65.6,Tanzania
S1929,17,Female,5.7,2.7,1.4,No,79,7.7,Good,0,Master,Average,8,Yes,89.8,Uganda
S1930,23,Male,4,0.3,0.6,No,78.4,7.8,Good,1,Master,Good,7,No,89.5,Ethiopia
S1931,20,Female,4,3.4,3.4,Yes,78,5.5,Poor,3,Bachelor,Average,7,Yes,68.8,Rwanda
S1932,17,Female,4.4,2.4,1.7,No,78.5,5.9,Fair,0,Bachelor,Average,5,No,76.8,Kenya
S1933,17,Female,1.8,3,2,No,81.1,4.9,Good,1,High School,Average,10,No,47.5,Kenya
S1934,24,Male,5.1,1.5,3.2,No,78.6,7,Poor,5,High School,Poor,8,Yes,89.3,Kenya
S1935,17,Male,3.4,4,0.7,Yes,87.1,7.3,Poor,1,Master,Good,2,No,62,Kenya
S1936,22,Male,4.5,3.8,2.5,No,88.6,4.9,Good,5,Bachelor,Average,2,Yes,66.1,Ethiopia
S1937,21,Female,1.9,3.2,1.2,No,75.9,6,Good,6,Bachelor,Good,5,No,41.7,Rwanda
S1938,22,Male,1.2,2.3,1.7,No,97.7,4.9,Fair,1,High School,Poor,1,No,28,Ethiopia
S1939,18,Female,4.7,3.2,1.9,No,75.2,5.4,Good,3,None,Good,6,No,71,Ethiopia
S1940,20,Other,4.1,1.7,0.1,Yes,68.8,7.2,Good,0,Master,Average,4,No,67.5,Kenya
S1941,21,Male,2.1,3.5,0.9,No,88.8,5.6,Fair,6,High School,Good,6,No,63.4,Kenya
S1942,24,Female,2.2,4.5,3.3,No,76.8,6.1,Poor,3,High School,Good,7,No,50.2,Ethiopia
S1943,21,Male,5.2,3.8,2.8,No,88.2,4.5,Good,2,High School,Poor,3,No,72,Rwanda
S1944,21,Female,1.7,1.6,1.7,No,61,6.7,Fair,5,Bachelor,Good,8,Yes,67.9,Rwanda
S1945,23,Male,6,2.9,2.1,Yes,98.9,6.4,Poor,0,None,Average,7,No,100,Tanzania
S1946,21,Female,2.1,0.9,1.5,No,91.7,5.6,Fair,3,Bachelor,Good,1,Yes,55,Tanzania
S1947,24,Female,4.5,3.2,3.3,Yes,70,6.3,Good,0,High School,Good,6,Yes,59.9,Ethiopia
S1948,22,Female,3,3,1.6,No,70.2,6.7,Fair,2,Master,Good,7,No,63.2,Tanzania
S1949,21,Female,4.4,0.3,2.1,No,100,5.5,Fair,4,Bachelor,Good,4,No,84.5,Rwanda
S1950,19,Female,2.7,1.1,3.1,No,77.6,4.7,Fair,5,High School,Average,2,No,50.8,Rwanda
S1951,20,Female,3.3,2.2,0.9,No,76.7,8.7,Good,5,Bachelor,Poor,10,No,94,Uganda
S1952,21,Female,3.6,2.1,3.5,Yes,62.3,5.7,Poor,1,High School,Average,9,No,65.6,Rwanda
S1953,20,Female,2,1,0.1,No,81.5,6.4,Fair,5,High School,Average,7,No,61.7,Tanzania
S1954,19,Male,4.6,3,3.6,No,82.7,7.7,Good,5,Master,Good,1,Yes,66,Kenya
S1955,19,Female,2.7,2.8,1.4,Yes,92.2,10,Poor,3,High School,Average,8,No,86.9,Uganda
S1956,20,Female,3.2,2.3,1.5,No,71,5,Good,6,High School,Good,3,No,59.6,Kenya
S1957,17,Female,2,1.6,0,No,69.8,7,Good,5,High School,Average,4,No,49.1,Tanzania
S1958,18,Male,0,3.8,1.3,Yes,89.5,5.7,Good,5,High School,Average,5,No,31.1,Kenya
S1959,23,Female,3.2,4.5,0.7,No,95.1,5.9,Fair,2,Master,Good,1,No,45.7,Uganda
S1960,17,Male,7.1,1.9,1.1,Yes,69.3,5.6,Good,6,High School,Average,6,No,100,Uganda
S1961,17,Female,4.7,1.8,1.6,No,95.8,5.1,Good,2,Master,Good,10,No,81.1,Ethiopia
S1962,22,Male,3.5,3.1,2.9,Yes,85.4,6.5,Good,0,Master,Average,6,No,55.1,Ethiopia
S1963,23,Female,3.1,2.1,2,No,95.9,4.7,Poor,0,High School,Good,2,No,53.3,Kenya
S1964,23,Other,3.5,2.3,2.1,No,84.3,7.6,Good,5,High School,Poor,10,Yes,89.1,Uganda
S1965,17,Male,4.3,3.4,0.6,No,59.8,6.6,Fair,5,Master,Average,6,Yes,77.3,Tanzania
S1966,21,Other,1.7,0.2,0.8,No,83.5,7,Poor,1,High School,Good,8,Yes,56.4,Tanzania
S1967,22,Male,5.2,4.1,3.8,No,95.6,5.9,Fair,0,None,Good,6,No,76.1,Ethiopia
S1968,22,Female,4.6,2.6,1,No,76.1,6.1,Good,3,High School,Average,4,No,74.6,Tanzania
S1969,19,Female,4.6,2,3.6,Yes,81.1,6.8,Fair,5,Bachelor,Average,4,No,83,Kenya
S1970,24,Female,4.2,2.4,1.5,No,83.2,5.1,Fair,3,Bachelor,Average,9,Yes,85.9,Rwanda
